Gene
C1orf56
CDC42SE1
HNRNPH1
CTNNB1
FGD2
PHKG1
B4GALT1
MDM4
ATP1B1
PAQR7
RIN2
MKNK1
EIF5A
MARCKS
GIGYF1
SRSF6
SUMF2
GOLIM4
TNRC6B
WTAP
TRA2A
RBM6
APOBEC3C
SETD5
PPP1CB
ITGAX
SET
PPP3CA
AMFR
C16orf54
CYBB
IRF2BPL
ANKRD40
SAR1A
TSPYL1
ADAM17
RREB1
RASA4
C2orf68
IAH1
R3HDM2
